Date,Vitesse du vent moyen 10 mn,Humidité,Variation de pression en 24 heures,Précipitations dans les 24 dernières heures,Température (°C),BONAP:NO2
2022-01-01 01:00:00,1.8,99,400.0,0.2,9.700000000000044,39.8
2022-01-01 04:00:00,1.5,100,450.0,0.2,8.900000000000034,29.3
2022-01-01 07:00:00,1.0,100,470.0,0.2,7.800000000000011,25.9
2022-01-01 10:00:00,0.6,100,360.0,0.2,7.5,19.5
2022-01-01 13:00:00,3.6,81,110.0,0.2,12.200000000000044,26.3
2022-01-01 16:00:00,1.5,72,-120.0,0.4,12.900000000000034,36.8
2022-01-01 19:00:00,1.9,89,-260.0,0.4,10.100000000000025,46.2
2022-01-01 22:00:00,1.7,88,-420.0,0.4,9.600000000000025,45.0
2022-01-02 01:00:00,3.0,88,-560.0,0.4,8.700000000000045,32.3
2022-01-02 04:00:00,3.2,85,-720.0,0.4,9.200000000000044,17.6
2022-01-02 07:00:00,3.8,79,-780.0,0.2,10.100000000000025,21.3
2022-01-02 10:00:00,1.7,81,-620.0,0.2,10.700000000000044,20.6
2022-01-02 13:00:00,4.8,82,-510.0,0.2,12.900000000000034,27.2
2022-01-02 16:00:00,6.6,79,-420.0,0.0,13.600000000000025,23.1
2022-01-02 19:00:00,7.3,84,-430.0,0.0,12.700000000000044,18.5
2022-01-02 22:00:00,7.0,79,-270.0,0.0,12.200000000000044,15.4
2022-01-03 01:00:00,6.2,82,-70.0,0.0,11.300000000000011,10.9
2022-01-03 04:00:00,4.0,88,150.0,0.0,10.5,10.8
2022-01-03 07:00:00,4.8,87,130.0,0.0,10.600000000000025,35.3
2022-01-03 10:00:00,6.1,89,-120.0,0.0,10.700000000000044,43.0
2022-01-03 13:00:00,5.8,84,-300.0,0.0,11.800000000000011,22.5
2022-01-03 16:00:00,4.0,92,-530.0,0.4,11.400000000000034,43.8
2022-01-03 19:00:00,7.3,95,-850.0,4.6,11.800000000000011,30.3
2022-01-03 22:00:00,6.3,93,-1190.0,5.0,11.600000000000025,17.7
2022-01-04 01:00:00,5.2,97,-1590.0,6.2,11.0,17.4
2022-01-04 04:00:00,5.4,96,-2050.0,12.5,11.300000000000011,16.8
2022-01-04 07:00:00,4.2,98,-1950.0,20.5,7.900000000000034,41.4
2022-01-04 10:00:00,3.0,94,-1610.0,22.5,7.800000000000011,69.9
2022-01-04 13:00:00,4.3,95,-1400.0,23.1,8.600000000000023,
2022-01-04 16:00:00,4.5,90,-1170.0,22.7,9.400000000000034,37.7
2022-01-04 19:00:00,6.1,74,-770.0,18.5,8.300000000000011,29.9
2022-01-04 22:00:00,6.2,87,-290.0,18.1,5.300000000000011,11.5
2022-01-05 01:00:00,4.2,79,410.0,17.1,3.900000000000034,14.6
2022-01-05 04:00:00,3.5,86,1050.0,10.8,1.7000000000000457,13.8
2022-01-05 07:00:00,4.4,86,1260.0,2.8,1.3000000000000114,39.5
2022-01-05 10:00:00,4.8,86,1230.0,0.8,2.300000000000012,47.6
2022-01-05 13:00:00,5.8,72,1310.0,0.2,6.100000000000023,25.9
2022-01-05 16:00:00,5.4,66,1400.0,0.2,6.5,37.6
2022-01-05 19:00:00,1.7,84,1530.0,0.2,2.700000000000045,48.1
2022-01-05 22:00:00,3.1,86,1420.0,0.2,2.1000000000000227,40.0
